  3378 15 3 -1237 -70.7 1206    0
  3379 15 0 -1237 -70.7 1206    0
  3382 15 3 -1237 -70.7 1206    0
  3383 15 0 -1237 -70.7 1206    0
  3385  8 3 -1237 -70.7 1206    0
  3386  8 0 -1237 -70.7 1206    0
  3388  8 3 -1237 -70.7 1206    0
  3389  8 0 -1237 -70.7 1206    0
  3391  8 3 -1237 -70.7 1206    0
  3392  8 0 -1237 -70.7 1206    0
  3887 15 3 -1237 -70.7 1228    0
  3890 15 3 -1237 -70.7 1228    0
  3892 15 0 -1237 -70.7 1228    0
  3897  8 3 -1237 -70.7 1228    0
  3899  6 3 -1237 -70.7 1228    0
  3901  5 3 -1237 -70.7 1228    0
  3905 10 3 -1237 -70.7 1228    0
  3907 12 3 -1237 -70.7 1228    0
  3928 15 3 -1237 -70.7   27    0
  3929 15 0 -1237 -70.7   27    0
  3931  7 0 -1237 -70.7   27    0
  3933 10 0 -1237 -70.7   27    0
  3936  5 0 -1237 -70.7   27    0
  3939  8 0 -1237 -70.7   27    0
  4119 15 0 -1237 -70.7 1228 4114
  4120 15 0 -1237 -70.7 1228 4114
  4121 15 0 -1237 -70.7 1228 4114
  4122 15 0 -1237 -70.7 1228 4114
  4123 15 0 -1237 -70.7 1228 4114
  4124 15 0 -1237 -70.7 1228 4114
  4125 15 0 -1237 -70.7 1228 4114
  4118 15 0 -1237 -70.7 1228 4114
  4148 12 0 -1237 -70.7 1228 4142
  4146 10 0 -1237 -70.7 1228 4142
  4144  8 0 -1237 -70.7 1228 4142
  4150  6 0 -1237 -70.7 1228 4142
  4131  5 0 -1237 -70.7 1228 4126
  4152  4 0 -1237 -70.7 1228 4142
  4308 15 0 -1237 -70.7   27 4306
  4310 12 0 -1237 -70.7   27 4306
  4312 10 0 -1237 -70.7   27 4306
  4314  8 0 -1237 -70.7   27 4306
  4317  6 0 -1237 -70.7   27 4306
  4319  5 0 -1237 -70.7   27 4306
  4321  4 0 -1237 -70.7   27 4306
  4422 15 0 -388.9 -70.7 1228 4421
  4424 12 0 -388.9 -70.7 1228 4421
  4426 10 0 -388.9 -70.7 1228 4421
  4428  8 0 -388.9 -70.7 1228 4421
  4431  6 0 -388.9 -70.7 1228 4421
  4435  5 0 -388.9 -70.7 1228 4434
  4437  4 0 -388.9 -70.7 1228 4434
  4445 15 0 -388.9 -70.7   27 4444
  4448 12 0 -388.9 -70.7   27 4444
  4455 10 0 -388.9 -70.7   27 4444
  4458  8 0 -388.9 -70.7   27 4444
  4464  6 0 -388.9 -70.7   27 4462
  4468  5 0 -388.9 -70.7   27 4462
  4471  4 0 -388.9 -70.7   27 4462
  4446 15 1 -388.9 -70.7   27 4443
  4449 12 1 -388.9 -70.7   27 4443
  4450  0 2 -388.9 -70.7   27 4443
  4453 10 1 -388.9 -70.7   27 4444
  4457  8 1 -388.9 -70.7   27 4462
  4463  6 1 -388.9 -70.7   27 4462
  4467  5 1 -388.9 -70.7   27 4462
  4470  4 1 -388.9 -70.7   27 4462
  4472 10 1 -388.9 -70.7   27 4462
  4473  8 1 -388.9 -70.7   27 4462
  4640 15 0 -388.9 -70.7   27 4638
  4642 15 1 -388.9 -70.7   27 4638
  4646 15 1 -388.9 -70.7   27 4638
  4647 15 1 -388.9 -70.7   27 4638
  4652 12 0 -388.9 -70.7   27 4649
  4653 12 1 -388.9 -70.7   27 4649
